[ 2025-10-16 19:00:47,386 ] 15 root - INFO - Initiated the data ingestion component
[ 2025-10-16 19:02:06,876 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-16 19:02:06,877 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-16 19:02:06,877 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-16 19:02:11,999 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-16 19:02:12,249 ] 17 root - INFO - Completed the data ingestion component
[ 2025-10-16 19:02:12,251 ] 21 root - INFO - Initiated the data validation component
[ 2025-10-16 19:02:13,759 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 19:02:13,759 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 19:02:13,759 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 19:02:13,759 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 19:02:27,097 ] 25 root - INFO - Initiated the data transformation component
[ 2025-10-16 19:02:27,097 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-16 19:02:27,097 ] 65 root - INFO - Starting data transformation
[ 2025-10-16 19:02:28,570 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-16 19:02:28,570 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
