[ 2025-10-16 18:53:10,614 ] 15 root - INFO - Initiated the data ingestion component
[ 2025-10-16 18:54:30,061 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-16 18:54:30,062 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-16 18:54:30,062 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-16 18:54:34,939 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-16 18:54:35,158 ] 17 root - INFO - Completed the data ingestion component
[ 2025-10-16 18:54:35,161 ] 21 root - INFO - Initiated the data validation component
[ 2025-10-16 18:54:36,567 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 18:54:36,568 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 18:54:36,568 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 18:54:36,568 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 18:54:49,857 ] 25 root - INFO - Initiated the data transformation component
[ 2025-10-16 18:54:49,857 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-16 18:54:49,857 ] 65 root - INFO - Starting data transformation
[ 2025-10-16 18:54:51,396 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-16 18:54:51,396 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
