[ 2025-10-16 16:00:28,281 ] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-10-16 16:00:31,713 ] 14 root - INFO - Initiated the data ingestion component
[ 2025-10-16 16:02:31,137 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-16 16:02:31,139 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-16 16:02:31,140 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-16 16:02:50,842 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-16 16:02:51,575 ] 16 root - INFO - Completed the data ingestion component
[ 2025-10-16 16:02:51,893 ] 20 root - INFO - Initiated the data validation component
[ 2025-10-16 16:02:55,951 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 16:02:55,952 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 16:02:55,952 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 16:02:55,952 ] 33 root - INFO - Data frame has columns:22
