[ 2025-10-16 19:50:15,881 ] 15 root - INFO - Initiated the data ingestion component
[ 2025-10-16 19:51:43,063 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-16 19:51:43,064 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-16 19:51:43,064 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-16 19:51:47,858 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-16 19:51:48,074 ] 17 root - INFO - Completed the data ingestion component
[ 2025-10-16 19:51:48,076 ] 21 root - INFO - Initiated the data validation component
[ 2025-10-16 19:51:49,556 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 19:51:49,556 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 19:51:49,556 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 19:51:49,556 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 19:52:02,640 ] 25 root - INFO - Initiated the data transformation component
[ 2025-10-16 19:52:02,640 ] 80 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-16 19:52:02,640 ] 82 root - INFO - Starting data transformation
[ 2025-10-16 19:52:07,924 ] 102 root - INFO - Numeric columns for transformation: ['time', 'latitude', 'longitude', 'depth', 'nst', 'gap', 'dmin', 'rms', 'updated', 'place', 'type', 'horizontalError', 'depthError', 'magError', 'magNst', 'status', 'locationSource', 'magSource']
[ 2025-10-16 19:52:07,924 ] 64 root - INFO - Initializing KNNImputer and StandardScaler for numeric columns
